Date,Open,High,Low,Close,Adj Close,Volume
2015-06-04,54.869999,56.006001,54.060001,54.257000,54.257000,0
2015-06-05,53.948002,57.160999,53.948002,56.354000,56.354000,0
2015-06-08,55.985001,56.382999,55.535000,56.239700,56.239700,0
2015-06-09,56.000000,56.090000,55.154999,55.939999,55.939999,0
2015-06-10,55.009998,55.415001,53.783001,55.543499,55.543499,0
2015-06-11,54.009998,54.901001,53.592201,54.299999,54.299999,0
2015-06-12,54.212002,55.212502,53.955002,54.683701,54.683701,0
2015-06-15,55.189999,55.513000,54.310200,55.010502,55.010502,0
2015-06-16,54.506199,55.172501,53.541000,54.505501,54.505501,0
2015-06-17,53.685001,54.285999,52.986000,53.660999,53.660999,0
2015-06-18,53.723000,53.862000,53.025002,53.669998,53.669998,0
2015-06-19,53.459999,54.525002,53.403000,53.240002,53.240002,0
2015-06-22,53.712002,54.064999,53.359001,54.040001,54.040001,0
2015-06-23,53.696999,54.638000,53.696999,53.919998,53.919998,0
2015-06-24,53.930000,54.689499,53.459999,53.770000,53.770000,0
2015-06-25,54.169998,54.877998,53.985001,54.490002,54.490002,0
2015-06-26,54.271000,55.292000,54.178001,54.678001,54.678001,0
2015-06-29,55.248699,55.629002,54.935001,54.810501,54.810501,0
2015-06-30,55.709999,55.957001,55.278000,55.650700,55.650700,0
2015-07-01,55.581200,55.686001,55.185001,55.214699,55.214699,0
2015-07-02,55.860001,55.902000,55.379700,55.804199,55.804199,0
2015-07-03,55.360001,55.965199,55.060001,55.487999,55.487999,0
2015-07-06,56.086498,56.617199,55.760502,55.955502,55.955502,0
2015-07-07,56.935001,57.652000,56.439999,56.853500,56.853500,0
2015-07-08,56.709999,57.540001,56.457500,56.625000,56.625000,0
2015-07-09,57.384998,57.384998,56.547001,57.470001,57.470001,0
2015-07-10,57.215000,57.215000,56.180000,57.219501,57.219501,0
2015-07-13,56.375000,56.814999,55.935001,56.259998,56.259998,0
2015-07-14,56.509998,57.052502,56.110001,56.510700,56.510700,0
2015-07-15,56.485001,56.934502,56.070000,56.430000,56.430000,0
2015-07-16,56.910999,57.014999,56.479000,56.860001,56.860001,0
2015-07-17,56.919998,57.091499,56.564999,56.904999,56.904999,0
2015-07-20,57.134998,57.165001,56.540001,56.939999,56.939999,0
2015-07-21,57.009998,57.088501,56.729000,56.931999,56.931999,0
2015-07-22,56.960499,57.147999,56.660000,56.919998,56.919998,0
2015-07-23,57.415001,57.591202,57.046001,57.139999,57.139999,0
2015-07-24,57.849998,58.686001,57.512501,57.830700,57.830700,0
2015-07-27,58.560001,59.826000,58.128502,58.346001,58.346001,0
2015-07-28,59.735001,60.820000,59.380199,59.573002,59.573002,0
2015-07-29,60.185001,60.209999,58.917999,59.903500,59.903500,0
2015-07-30,58.660000,59.877998,58.544998,58.520000,58.520000,0
2015-07-31,59.598499,61.224499,59.424500,59.675499,59.675499,0
2015-08-03,61.512501,62.981998,61.384998,61.630699,61.630699,0
2015-08-04,63.610001,63.685001,62.432999,63.500000,63.500000,0
2015-08-05,62.810001,63.335201,62.544998,63.110001,63.110001,0
2015-08-06,63.121498,64.502998,62.833500,63.382999,63.382999,0
2015-08-07,64.047501,65.968697,63.400002,64.480003,64.480003,0
2015-08-10,63.935001,64.642502,63.047001,64.480003,64.480003,0
2015-08-11,63.105000,64.452499,62.900002,62.889999,62.889999,0
2015-08-12,64.410004,65.190002,64.046997,64.122002,64.122002,0
2015-08-13,64.432503,64.992996,63.174999,64.121201,64.121201,0
2015-08-14,64.635002,65.009003,64.254997,64.522003,64.522003,0
2015-08-17,64.809998,65.703499,64.485001,64.906700,64.906700,0
2015-08-18,65.235001,65.913002,65.110001,65.388199,65.388199,0
2015-08-19,65.337997,66.459999,65.337997,65.785004,65.785004,0
2015-08-20,66.650002,67.544998,66.294998,66.535698,66.535698,0
2015-08-21,68.055000,68.763000,67.186501,68.129997,68.129997,0
2015-08-24,70.091202,71.558998,69.385002,69.107498,69.107498,0
2015-08-25,70.834999,70.834999,68.144997,70.751503,70.751503,0
2015-08-26,69.426003,69.885498,68.186699,69.309196,69.309196,0
2015-08-27,68.434998,68.635002,65.783997,68.904999,68.904999,0
2015-08-28,65.305000,67.329002,64.702499,66.069000,66.069000,0
2015-08-31,65.110001,67.328003,65.015999,65.294998,65.294998,0
2015-09-01,62.648701,66.459999,62.598701,64.280701,64.280701,0
2015-09-02,66.535004,67.911003,66.014999,66.482697,66.482697,0
2015-09-03,66.785004,67.585999,66.145500,66.771698,66.771698,0
2015-09-04,66.730003,67.906998,66.730003,67.140701,67.140701,0
2015-09-07,68.334999,69.139702,67.760002,68.392502,68.392502,0
2015-09-08,69.205002,69.254997,67.707001,69.149002,69.149002,0
2015-09-09,67.709999,68.259003,66.747498,67.861198,67.861198,0
2015-09-10,68.730003,68.799004,67.473000,68.406502,68.406502,0
2015-09-11,67.230003,68.241997,67.227699,67.684502,67.684502,0
